serv_capa =  [35, 33, 34, 35, 27, 40, 32, 35, 40, 26, 40, 28, 27, 25, 34, 26, 33, 26, 27, 34, 38, 29, 38, 33, 27, 27, 25, 27, 25, 24, 26, 38, 26, 40, 27, 33]
serv_occup =  [3, 2, 3, 1, 3, 2, 1, 2, 2, 2, 2, 1, 2, 1, 1, 3, 3, 1, 3, 1, 1, 2, 1, 2, 3, 1, 3, 3, 1, 1, 1, 3, 1, 3, 1, 2]
mem_edge =  [466, 478, 445, 432, 440, 485, 462, 428, 493, 400, 431, 483, 427, 462, 467, 493, 421, 433, 487, 418, 451, 497, 472, 438, 452, 449, 401, 476, 435, 440, 448, 478, 434, 482, 470, 450]
mem_occup =  [79, 128, 105, 21, 86, 73, 1, 47, 107, 86, 12, 65, 48, 135, 2, 70, 89, 18, 15, 65, 103, 46, 70, 149, 49, 83, 143, 131, 141, 144, 149, 9, 124, 20, 117, 6]
bandwidth =  [12, 14, 14, 12, 10, 9, 15, 14, 10, 14, 15, 12, 9, 15, 11, 8, 15, 9, 9, 12, 11, 13, 10, 11, 12, 12, 13, 14, 8, 15, 9, 15, 8, 15, 10, 8]
bw_const =  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
l_cov =  [1.1, 1.4, 1.0, 1.3, 1.4, 1.5, 1.0, 0.9, 1.1, 0.7, 0.8, 0.6, 0.9, 1.1, 1.1, 1.2, 1.5, 0.8, 1.5, 1.0, 0.8, 1.0, 0.6, 0.6, 0.6, 0.6, 0.6, 1.0, 1.2, 1.3, 0.6, 1.3, 0.9, 1.0, 0.7, 1.3]
vel_free =  [70, 57, 67, 67, 53, 54, 66, 52, 66, 68, 61, 68, 65, 54, 60, 70, 55, 54, 59, 63, 59, 70, 57, 68, 64, 52, 53, 67, 66, 53, 50, 61, 60, 54, 69, 58]
density_jam =  [59, 52, 63, 63, 56, 63, 55, 61, 60, 57, 50, 64, 58, 51, 53, 58, 58, 55, 63, 63, 60, 56, 59, 59, 65, 60, 50, 64, 57, 56, 58, 55, 58, 54, 53, 60]
density =  [35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
vel_at_edge =  [28.47, 18.63, 29.77, 29.77, 19.87, 24.0, 24.0, 22.16, 27.49, 26.24, 18.3, 30.81, 25.77, 16.94, 20.37, 27.75, 21.81, 19.63, 26.22, 28.0, 24.58, 26.25, 23.18, 27.66, 29.53, 21.66, 15.9, 30.35, 25.47, 19.87, 19.82, 22.18, 23.79, 19.0, 23.43, 24.16]


